case,field_Vcm,tau_ms,activated_fraction,peak_Vm_mV
mono-iso,0.1,13.88,1.0,44.752426237704256
mono-aniso,0.1,21.22,1.0,54.399193312978376
bido-equal,0.1,21.52,1.0,53.874810822757965
bido-unequal,0.1,21.97,1.0,37.152075730678014
mono-iso,0.2,12.4,1.0,80.61649777189413
mono-aniso,0.2,19.64,1.0,81.22625328496747
bido-equal,0.2,19.93,1.0,81.19021146471482
bido-unequal,0.2,19.32,1.0,67.91438538771517
mono-iso,0.4,11.8,1.0,84.08692163875466
mono-aniso,0.4,18.81,1.0,84.43543369410764
bido-equal,0.4,19.1,1.0,84.34776117938465
bido-unequal,0.4,17.11,1.0,82.57843554845924
mono-iso,0.5,11.67,1.0,85.75380433262248
mono-aniso,0.5,18.62,1.0,86.07169534283442
bido-equal,0.5,18.92,1.0,85.9675456180907
bido-unequal,0.5,16.12,1.0,83.86219614769529
mono-iso,1.0,11.36,1.0,94.07304983174569
mono-aniso,1.0,15.72,1.0,94.50939796054224
bido-equal,1.0,16.09,1.0,94.18877533889818
bido-unequal,1.0,13.88,1.0,90.41997992418278
mono-iso,1.5,11.18,1.0,102.44762286771258
mono-aniso,1.5,15.32,1.0,103.5391597557229
bido-equal,1.5,15.610000000000001,1.0,102.59134515143175
bido-unequal,1.5,12.780000000000001,1.0,97.36905580013203
mono-iso,2.0,10.26,1.0,110.90594389647983
mono-aniso,2.0,15.200000000000001,1.0,112.43844739978232
bido-equal,2.0,15.46,1.0,110.87277613843045
bido-unequal,2.0,12.05,1.0,104.62836772738905
mono-iso,2.5,9.870000000000001,1.0,119.7756074019981
mono-aniso,2.5,15.13,1.0,121.80512605341545
bido-equal,2.5,15.38,1.0,119.84997302079644
bido-unequal,2.5,11.76,1.0,111.20775581309132
mono-iso,5.0,9.78,1.0,156.40347886915657
mono-aniso,5.0,15.05,1.0,166.46660499652205
bido-equal,5.0,15.27,1.0,162.7695817980583
bido-unequal,5.0,10.74,1.0,144.9536858928453
