scenario,N_dir,field_V_per_cm,configuration_index,activation_time_ms
border_only_no_tree,1,0.1,1,39.95
border_only_no_tree,1,0.1,2,39.6
border_only_no_tree,1,0.1,3,39.4
border_only_no_tree,1,0.1,4,39.6
border_only_no_tree,1,0.1,5,40.45
border_only_no_tree,1,0.1,6,39.2
border_only_no_tree,1,0.2,1,34.75
border_only_no_tree,1,0.2,2,34.75
border_only_no_tree,1,0.2,3,34.65
border_only_no_tree,1,0.2,4,35.1
border_only_no_tree,1,0.2,5,35.2
border_only_no_tree,1,0.2,6,34.45
border_only_no_tree,1,0.3,1,32.8
border_only_no_tree,1,0.3,2,32.9
border_only_no_tree,1,0.3,3,32.85
border_only_no_tree,1,0.3,4,33.15
border_only_no_tree,1,0.3,5,33.2
border_only_no_tree,1,0.3,6,32.7
border_only_no_tree,1,0.4,1,31.8
border_only_no_tree,1,0.4,2,31.9
border_only_no_tree,1,0.4,3,31.9
border_only_no_tree,1,0.4,4,32.1
border_only_no_tree,1,0.4,5,32.15
border_only_no_tree,1,0.4,6,31.75
border_only_no_tree,1,0.5,1,31.15
border_only_no_tree,1,0.5,2,31.25
border_only_no_tree,1,0.5,3,31.25
border_only_no_tree,1,0.5,4,31.4
border_only_no_tree,1,0.5,5,31.45
border_only_no_tree,1,0.5,6,31.1
border_only_no_tree,2,0.1,1,24.55
border_only_no_tree,2,0.1,2,35.35
border_only_no_tree,2,0.1,3,24.45
border_only_no_tree,2,0.1,4,35.6
border_only_no_tree,2,0.1,5,25.2
border_only_no_tree,2,0.1,6,35.35
border_only_no_tree,2,0.2,1,21.65
border_only_no_tree,2,0.2,2,27.75
border_only_no_tree,2,0.2,3,21.6
border_only_no_tree,2,0.2,4,27.95
border_only_no_tree,2,0.2,5,22.3
border_only_no_tree,2,0.2,6,27.4
border_only_no_tree,2,0.3,1,20.95
border_only_no_tree,2,0.3,2,25.15
border_only_no_tree,2,0.3,3,20.75
border_only_no_tree,2,0.3,4,25.05
border_only_no_tree,2,0.3,5,20.75
border_only_no_tree,2,0.3,6,24.75
border_only_no_tree,2,0.4,1,20.6
border_only_no_tree,2,0.4,2,23.75
border_only_no_tree,2,0.4,3,20.55
border_only_no_tree,2,0.4,4,23.55
border_only_no_tree,2,0.4,5,20.4
border_only_no_tree,2,0.4,6,23.15
border_only_no_tree,2,0.5,1,20.1
border_only_no_tree,2,0.5,2,22.75
border_only_no_tree,2,0.5,3,20.4
border_only_no_tree,2,0.5,4,22.65
border_only_no_tree,2,0.5,5,20.25
border_only_no_tree,2,0.5,6,22.2
border_only_no_tree,3,0.1,1,25.2
border_only_no_tree,3,0.1,2,35.55
border_only_no_tree,3,0.1,3,25.5
border_only_no_tree,3,0.1,4,35.8
border_only_no_tree,3,0.1,5,25.3
border_only_no_tree,3,0.1,6,35.5
border_only_no_tree,3,0.2,1,20.95
border_only_no_tree,3,0.2,2,26.1
border_only_no_tree,3,0.2,3,20.6
border_only_no_tree,3,0.2,4,26.05
border_only_no_tree,3,0.2,5,21.1
border_only_no_tree,3,0.2,6,26.0
border_only_no_tree,3,0.3,1,20.2
border_only_no_tree,3,0.3,2,22.95
border_only_no_tree,3,0.3,3,19.85
border_only_no_tree,3,0.3,4,23.0
border_only_no_tree,3,0.3,5,20.0
border_only_no_tree,3,0.3,6,23.1
border_only_no_tree,3,0.4,1,19.4
border_only_no_tree,3,0.4,2,21.25
border_only_no_tree,3,0.4,3,19.55
border_only_no_tree,3,0.4,4,21.4
border_only_no_tree,3,0.4,5,19.55
border_only_no_tree,3,0.4,6,21.25
border_only_no_tree,3,0.5,1,19.35
border_only_no_tree,3,0.5,2,20.3
border_only_no_tree,3,0.5,3,19.4
border_only_no_tree,3,0.5,4,20.8
border_only_no_tree,3,0.5,5,19.45
border_only_no_tree,3,0.5,6,20.5
border_only_no_tree,4,0.1,1,31.2
border_only_no_tree,4,0.1,2,38.6
border_only_no_tree,4,0.1,3,44.25
border_only_no_tree,4,0.1,4,39.0
border_only_no_tree,4,0.1,5,31.75
border_only_no_tree,4,0.1,6,38.45
border_only_no_tree,4,0.2,1,20.4
border_only_no_tree,4,0.2,2,22.7
border_only_no_tree,4,0.2,3,20.3
border_only_no_tree,4,0.2,4,22.4
border_only_no_tree,4,0.2,5,20.85
border_only_no_tree,4,0.2,6,22.55
border_only_no_tree,4,0.3,1,19.8
border_only_no_tree,4,0.3,2,20.9
border_only_no_tree,4,0.3,3,19.45
border_only_no_tree,4,0.3,4,20.8
border_only_no_tree,4,0.3,5,19.7
border_only_no_tree,4,0.3,6,21.05
border_only_no_tree,4,0.4,1,19.45
border_only_no_tree,4,0.4,2,20.3
border_only_no_tree,4,0.4,3,19.15
border_only_no_tree,4,0.4,4,20.15
border_only_no_tree,4,0.4,5,19.25
border_only_no_tree,4,0.4,6,20.2
border_only_no_tree,4,0.5,1,19.25
border_only_no_tree,4,0.5,2,19.85
border_only_no_tree,4,0.5,3,19.0
border_only_no_tree,4,0.5,4,19.8
border_only_no_tree,4,0.5,5,19.0
border_only_no_tree,4,0.5,6,19.8
border_plus_tree,1,0.1,1,39.95
border_plus_tree,1,0.1,2,39.55
border_plus_tree,1,0.1,3,39.4
border_plus_tree,1,0.1,4,39.6
border_plus_tree,1,0.1,5,40.45
border_plus_tree,1,0.1,6,39.2
border_plus_tree,1,0.2,1,34.7
border_plus_tree,1,0.2,2,34.7
border_plus_tree,1,0.2,3,34.65
border_plus_tree,1,0.2,4,35.1
border_plus_tree,1,0.2,5,35.2
border_plus_tree,1,0.2,6,34.45
border_plus_tree,1,0.3,1,28.8
border_plus_tree,1,0.3,2,27.9
border_plus_tree,1,0.3,3,21.55
border_plus_tree,1,0.3,4,33.15
border_plus_tree,1,0.3,5,31.45
border_plus_tree,1,0.3,6,26.0
border_plus_tree,1,0.4,1,25.3
border_plus_tree,1,0.4,2,24.15
border_plus_tree,1,0.4,3,19.55
border_plus_tree,1,0.4,4,29.6
border_plus_tree,1,0.4,5,28.7
border_plus_tree,1,0.4,6,22.9
border_plus_tree,1,0.5,1,24.0
border_plus_tree,1,0.5,2,23.1
border_plus_tree,1,0.5,3,18.35
border_plus_tree,1,0.5,4,23.05
border_plus_tree,1,0.5,5,27.55
border_plus_tree,1,0.5,6,21.75
border_plus_tree,2,0.1,1,24.55
border_plus_tree,2,0.1,2,35.35
border_plus_tree,2,0.1,3,24.45
border_plus_tree,2,0.1,4,35.6
border_plus_tree,2,0.1,5,25.2
border_plus_tree,2,0.1,6,35.35
border_plus_tree,2,0.2,1,21.65
border_plus_tree,2,0.2,2,27.75
border_plus_tree,2,0.2,3,21.55
border_plus_tree,2,0.2,4,27.95
border_plus_tree,2,0.2,5,22.3
border_plus_tree,2,0.2,6,27.4
border_plus_tree,2,0.3,1,18.2
border_plus_tree,2,0.3,2,23.0
border_plus_tree,2,0.3,3,18.95
border_plus_tree,2,0.3,4,25.05
border_plus_tree,2,0.3,5,19.4
border_plus_tree,2,0.3,6,24.45
border_plus_tree,2,0.4,1,16.5
border_plus_tree,2,0.4,2,21.15
border_plus_tree,2,0.4,3,16.3
border_plus_tree,2,0.4,4,23.55
border_plus_tree,2,0.4,5,17.0
border_plus_tree,2,0.4,6,22.4
border_plus_tree,2,0.5,1,15.8
border_plus_tree,2,0.5,2,20.3
border_plus_tree,2,0.5,3,15.35
border_plus_tree,2,0.5,4,22.4
border_plus_tree,2,0.5,5,16.9
border_plus_tree,2,0.5,6,21.3
border_plus_tree,3,0.1,1,25.2
border_plus_tree,3,0.1,2,35.55
border_plus_tree,3,0.1,3,25.5
border_plus_tree,3,0.1,4,35.8
border_plus_tree,3,0.1,5,25.3
border_plus_tree,3,0.1,6,35.5
border_plus_tree,3,0.2,1,20.95
border_plus_tree,3,0.2,2,26.1
border_plus_tree,3,0.2,3,20.55
border_plus_tree,3,0.2,4,26.05
border_plus_tree,3,0.2,5,21.1
border_plus_tree,3,0.2,6,26.0
border_plus_tree,3,0.3,1,18.15
border_plus_tree,3,0.3,2,21.5
border_plus_tree,3,0.3,3,18.85
border_plus_tree,3,0.3,4,23.0
border_plus_tree,3,0.3,5,17.95
border_plus_tree,3,0.3,6,22.3
border_plus_tree,3,0.4,1,18.85
border_plus_tree,3,0.4,2,20.0
border_plus_tree,3,0.4,3,15.6
border_plus_tree,3,0.4,4,21.4
border_plus_tree,3,0.4,5,16.25
border_plus_tree,3,0.4,6,20.2
border_plus_tree,3,0.5,1,15.2
border_plus_tree,3,0.5,2,18.4
border_plus_tree,3,0.5,3,14.95
border_plus_tree,3,0.5,4,20.4
border_plus_tree,3,0.5,5,15.15
border_plus_tree,3,0.5,6,19.05
border_plus_tree,4,0.1,1,31.2
border_plus_tree,4,0.1,2,38.6
border_plus_tree,4,0.1,3,42.9
border_plus_tree,4,0.1,4,39.0
border_plus_tree,4,0.1,5,31.75
border_plus_tree,4,0.1,6,38.45
border_plus_tree,4,0.2,1,20.4
border_plus_tree,4,0.2,2,22.7
border_plus_tree,4,0.2,3,20.25
border_plus_tree,4,0.2,4,22.4
border_plus_tree,4,0.2,5,20.85
border_plus_tree,4,0.2,6,22.55
border_plus_tree,4,0.3,1,18.65
border_plus_tree,4,0.3,2,19.15
border_plus_tree,4,0.3,3,19.6
border_plus_tree,4,0.3,4,20.8
border_plus_tree,4,0.3,5,19.0
border_plus_tree,4,0.3,6,19.0
border_plus_tree,4,0.4,1,15.2
border_plus_tree,4,0.4,2,16.25
border_plus_tree,4,0.4,3,15.6
border_plus_tree,4,0.4,4,18.55
border_plus_tree,4,0.4,5,15.15
border_plus_tree,4,0.4,6,16.7
border_plus_tree,4,0.5,1,14.7
border_plus_tree,4,0.5,2,15.55
border_plus_tree,4,0.5,3,14.5
border_plus_tree,4,0.5,4,17.5
border_plus_tree,4,0.5,5,14.2
border_plus_tree,4,0.5,6,15.85
