scenario,N_dir,field_V_per_cm,n_configurations,mean_activation_time_ms,population_sd_activation_time_ms,sample_sd_activation_time_ms
border_only_no_tree,1,0.1,6,39.7,0.4052,0.4438
border_only_no_tree,1,0.2,6,34.8167,0.2577,0.2823
border_only_no_tree,1,0.3,6,32.9333,0.1818,0.1992
border_only_no_tree,1,0.4,6,31.9333,0.1462,0.1602
border_only_no_tree,1,0.5,6,31.2667,0.1247,0.1366
border_only_no_tree,2,0.1,6,30.0833,5.3558,5.867
border_only_no_tree,2,0.2,6,24.775,2.9381,3.2185
border_only_no_tree,2,0.3,6,22.9,2.0879,2.2871
border_only_no_tree,2,0.4,6,22.0,1.495,1.6377
border_only_no_tree,2,0.5,6,21.3917,1.1574,1.2678
border_only_no_tree,3,0.1,6,30.475,5.1433,5.6342
border_only_no_tree,3,0.2,6,23.4667,2.5877,2.8347
border_only_no_tree,3,0.3,6,21.5167,1.5041,1.6476
border_only_no_tree,3,0.4,6,20.4,0.9028,0.9889
border_only_no_tree,3,0.5,6,19.9667,0.5857,0.6416
border_only_no_tree,4,0.1,6,37.2083,4.5123,4.943
border_only_no_tree,4,0.2,6,21.5333,1.0343,1.133
border_only_no_tree,4,0.3,6,20.2833,0.6459,0.7076
border_only_no_tree,4,0.4,6,19.75,0.477,0.5225
border_only_no_tree,4,0.5,6,19.45,0.3764,0.4123
border_plus_tree,1,0.1,6,39.6917,0.4077,0.4466
border_plus_tree,1,0.2,6,34.8,0.263,0.2881
border_plus_tree,1,0.3,6,28.1417,3.754,4.1123
border_plus_tree,1,0.4,6,25.0333,3.41,3.7355
border_plus_tree,1,0.5,6,22.9667,2.7354,2.9964
border_plus_tree,2,0.1,6,30.0833,5.3558,5.867
border_plus_tree,2,0.2,6,24.7667,2.9471,3.2284
border_plus_tree,2,0.3,6,21.5083,2.7495,3.0119
border_plus_tree,2,0.4,6,19.4833,2.9727,3.2565
border_plus_tree,2,0.5,6,18.675,2.7652,3.0292
border_plus_tree,3,0.1,6,30.475,5.1433,5.6342
border_plus_tree,3,0.2,6,23.4583,2.597,2.8449
border_plus_tree,3,0.3,6,20.2917,2.0403,2.235
border_plus_tree,3,0.4,6,18.7167,2.1159,2.3179
border_plus_tree,3,0.5,6,17.1917,2.1744,2.3819
border_plus_tree,4,0.1,6,36.9833,4.1768,4.5754
border_plus_tree,4,0.2,6,21.525,1.0443,1.144
border_plus_tree,4,0.3,6,19.3667,0.6998,0.7666
border_plus_tree,4,0.4,6,16.2417,1.171,1.2827
border_plus_tree,4,0.5,6,15.3833,1.1086,1.2144
