mesh_prefix_original_absolute,mesh_base,field_code_fa,field_V_per_cm_inferred_times10,direction_sequence,N_dir,activation_time_ms
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,x,1,28.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,y,1,28.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,x,1,18.55
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,y,1,18.6
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.03,0.3,x,1,15.35
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.03,0.3,y,1,15.4
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.04,0.4,x,1,13.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.04,0.4,y,1,13.9
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.05,0.5,x,1,13.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.05,0.5,y,1,13.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,xX,2,31.75
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,yY,2,31.85
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,xX,2,19.05
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,yY,2,19.1
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.03,0.3,xX,2,15.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.03,0.3,yY,2,15.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.04,0.4,xX,2,13.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.04,0.4,yY,2,13.5
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.05,0.5,xX,2,12.2
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.05,0.5,yY,2,12.15
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,xXyY,4,50.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.01,0.1,yYxX,4,50.0
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,xXyY,4,13.95
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.02,0.2,yYxX,4,13.95
/home/bruno/Desktop/Artigo/ArvoresCoracao/testeNoTree,testeNoTree,0.03,0.3,xXyY,4,13.4
